review_id,traveler_id,trip_id,provider_id,rating,comment,review_date,is_flagged
23,48,24,,4,"Temple-hopping in Asia was spiritual and educational. Would have liked more free time for personal exploration.",2024-03-30,0
24,50,25,,5,"Perfect mix of theme park excitement and beach relaxation. The kids were entertained throughout and we got some adult time too.",2023-12-20,0
25,52,23,,4,"Renaissance art tour was fascinating with expert guides, though some museums were very crowded. Overall great experience.",2023-11-25,0
26,2,26,,5,"The ski and spa experience was perfectly balanced. Luxury accommodations and uncrowded slopes made for a perfect winter getaway.",2024-02-05,0
27,4,27,,4,"Costa Rica's coastline is beautiful. The eco-tours were educational though accommodations were more rustic than expected.",2023-11-20,0
28,6,29,,5,"Tahiti's overwater bungalows are a dream come true. The snorkeling was spectacular with crystal clear waters and abundant marine life.",2024-01-02,0
29,8,28,,4,"The climbing experience was challenging and rewarding. Professional guides ensured safety. Needed better physical preparation!",2024-02-28,0
30,11,30,,5,"Immersive cultural experience in Japan. The balance between Tokyo's modernity and Kyoto's traditions was perfect.",2023-11-10,0
31,13,31,,5,"The Mediterranean cruise was the height of luxury. Exclusive shore excursions made us feel like VIPs everywhere we went.",2024-04-28,0
32,16,33,,4,"The cultural immersion in India was eye-opening. Amazing colors, flavors, and traditions, though travel between sites was sometimes tiring.",2024-03-25,0
33,19,32,,5,"Patagonia's landscapes are otherworldly. The hiking was challenging but the views were absolutely worth every step.",2024-01-30,0
34,21,34,,4,"The family cruise had great activities for kids. Entertainment options were excellent though dining times were sometimes inflexible.",2024-01-05,0
35,23,35,,5,"Vienna's musical heritage is magnificent. Attended three concerts in historic venues - absolutely magical experiences!",2023-11-28,0
36,25,36,,4,"Dubai shopping experience was luxurious. VIP access was convenient though some boutiques were unnecessarily exclusive.",2024-04-10,0
37,27,38,,5,"Fiji's beaches and hospitality are unmatched. Resort was perfect for relaxation and water activities were well organized.",2024-02-28,0
38,29,37,,5,"The wildlife photography tour provided perfect opportunities to capture Costa Rica's incredible biodiversity. Expert guides knew all the spots!",2024-05-30,0
39,31,39,,4,"Mont Blanc trek was challenging but incredibly rewarding. Stunning Alpine scenery though weather was unpredictable.",2024-06-28,0
40,33,40,,5,"The art capitals tour was comprehensive and educational. Perfect pace and excellent local guides in each city.",2024-05-15,0
41,35,41,,5,"Antarctic expedition was truly the adventure of a lifetime. The wildlife sightings were incredible and the expedition team was top-notch.",2024-01-28,0
42,37,42,,4,"Mountain biking in the Himalayas was both challenging and exhilarating. Some trails were more technical than advertised.",2024-06-02,0
43,39,43,,5,"Southeast Asia's heritage sites are spectacular. Well-organized tour that covered the major UNESCO sites with knowledgeable guides.",2024-03-30,0
44,41,44,,4,"Great comprehensive Orlando package. All major parks were covered though days were very busy. Kids had an absolute blast!",2024-03-05,0
45,43,46,,5,"The yacht week was the pinnacle of luxury. Exclusive access to private beaches and premium service throughout.",2024-07-20,0
46,45,48,,5,"Seychelles islands are paradise on earth. The island hopping was seamless and each location more beautiful than the last.",2024-03-28,0
47,47,47,,4,"Borneo wildlife safari was fascinating. Saw orangutans and proboscis monkeys though accommodations were basic as expected.",2024-07-02,0
48,49,50,,5,"The Christmas markets tour was magical. Perfect festive atmosphere and the winter traditions made for a unique holiday experience.",2024-12-10,0
49,51,45,,4,"European castles tour was educational and impressive. Some locations were crowded but the historical significance was worth it.",2024-06-25,0
50,53,49,,5,"Summiting Kilimanjaro was the achievement of a lifetime! Guides were supportive and safety protocols excellent. Unforgettable experience.",2024-03-10,0
51,1,,3,4,"The tour guide was very knowledgeable but sometimes hard to understand. Overall a good experience.",2023-07-02,0
52,5,,5,5,"The hotel was exceptional with amazing service and amenities. Would stay again!",2023-09-15,0
53,10,,2,3,"Transportation was frequently late, but drivers were courteous.",2023-10-12,0
54,15,,7,5,"Our guide spoke perfect English and was extremely knowledgeable about local history.",2023-11-05,0
55,20,,10,4,"Hotel rooms were clean and spacious. Breakfast buffet was excellent.",2024-01-25,0
56,25,,8,2,"Disappointing service at this hotel. Room was not as advertised and staff was unhelpful.",2024-02-18,1
57,30,,6,4,"Transportation was on time and comfortable. Driver was professional.",2024-03-22,0
58,35,,12,5,"The guide made our trip amazing with insider knowledge and flexibility.",2024-04-30,0
59,40,,14,1,"Terrible experience with this transportation service. Avoid at all costs!",2024-05-28,1
60,45,,9,3,"Hotel was in a good location but rooms need renovation. Average experience overall.",2024-06-15,0
61,12,10,3,5,"Both the trip and the guide were exceptional. The guide's knowledge of Japan enhanced our experience tremendously.",2024-01-15,0
62,24,5,8,2,"While Rome was beautiful, the hotel was a major disappointment. Rooms were tiny and dirty.",2023-07-10,1
63,36,18,10,4,"The Caribbean cruise was great and the hotel accommodation before boarding was very nice.",2024-02-05,0
64,48,24,6,5,"Great transportation service that enhanced our family's Orlando experience. Always punctual and friendly.",2024-01-30,0
65,2,26,12,3,"The ski resort was excellent but our guide wasn't familiar enough with the advanced slopes.",2024-03-15,0
